ogc_fid,cartodb_id,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,GEOMETRY
188,221,"Menu includes fried or baked fish, shrimp, macaroni and cheese and fish taco dinners. Also featuring weekly specials.",,0,1,,www.stbernardfishfry.net,,412-440-2697,,,,311 Washington Road,Church,In Church Hall,St. Bernard,1,
189,222,"Menu includes hand-breaded haddock, fried shrimp, french fries, cole slaw, dessert and beverages. Dine-in or takeout. For information, call 724-222-4087 or visit www.sthilaryparish.org.",,,1,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. For takeout orders, call 724-222-1381.",www.sthilaryparish.org,,724-222-4087,,,," 320 Henderson Ave, Washington, PA 15301",Church,,"St. Hilary, Washington",1,
190,223,,,1,1,,http://jimmygsgrill.com/,,724-745-5666,1,,1,"341 South Central Ave. Canonsburg, PA 15317",Restaurant,,Jimmy Gs Grill,1,
191,226,,1,1,1,,http://holytrinitywashingtonpa.org/,,724-225-1895,1,1,0,"605 Hewitt Ave. Washington, PA 15301",Church,,Holy Trinity National Catholic Church,1,
192,227,a la carte; Menu includes 8oz breaded Icelandic cod sandwich or breaded deep fried shrimp. ,,,1,"Fish available on a first come, first served basis. ",https://www.facebook.com/tripletstavern/,,724-229-2929,,1,1,"30 Oregon Street, Washington PA 15301",Restaurant,Inside the tavern. Must be 18 to enter. ,Triple Ts Tavern,1,
193,228,"Large code sandwich on a bun, $6.50; haluski, $2 each; macaroni and cheese, $2; french fries, $2; coleslaw, $1; homemade baked goods, $1; ice tea or soda, $1; coffee or tea, 50 cents.",,1,1,"Dine-in, takeout and local delivery available. Order by phone for pickup or delivery, 412-466-8960 on Tuesday Feb 28, from 11am - 4pm and Wednesday, March 1st.",www.christthelightoftheworld.org,,412-466-8960,,1,0,"32 S 1st St, Duquesne, PA 15110",Church,Holy Name Church Hall (under church),Christ the Light of the World,1,
194,229,"Menu fish dinner, $7 for adults, $5 for child, $5.50 for senior. Shrimp dinner for $7.50, combo fish and shrimp dinner, and baked fish dinner with green beans almondine instead of french fries. Also featuring fish sandwich for $6, and the famous Columbkille sandwich for $6.50.",,0,1,,www.saintcolumbkilleparish.org/,,724-695-9084,,1,,"103 Church Rd, Imperial, PA 15126",Church,Takeout filled in the hall,St. Columbkille,1,
195,230,,,1,1,,http://www.palazzo1837.com/,,724-223-1837,,1,1,"1445 Washington Road, Washington, PA 15301",Restaurant,,Palazzo 1837 Ristorante,1,
196,231,,,1,1,,https://www.facebook.com/shenanigansamitypa/,,724-225-4646,,,1,"921 Amity Ridge Road Amity, PA 15311",Restaurant,,Shenanigans Bar and Grill,1,
197,232,"Dinner includes fish fillet, fish sandwich or shrimp, plus choice of sides. Also a la carte menu and bake sale. Cost is $10 for adult dinner, $2.50 for child dinner and $7.75 for sandwich. Menu Highlights  We hand-bread our fish and make slaw from scratch.  We offer traditional and Eastern European sides.  Plus, we offer a Low Carb dinner.",,0,1,"To order takeout, call 412-766-9727. We accept credit cards. For wheelchair access, there is a ramp that leads from North Jackson Avenue (behind the church) to our McGovern Hall.  Bathrooms accessible too.",www.assumptionchurch.org,,412-766-6660,1,1,,"45 North Sprague Avenue, Bellevue, PA 15202",Church,,Assumption,1,
198,233,"Friday menu: hand-breaded fried fish sandwich, $7; small fried fish sandwich, $4; fried butterfly shrimp, $6; baked fish, $6; tuna salad croissant, $4; toasted cheese sandwich, $3; tuna melt sandwich, $5. Side menu includes specialty soup, tomato soup, homemade pierogies with butter and onions, potato pancakes, cabbage with homemade noodles, baked macaroni and cheese, hush puppies, french fries, stewed tomatoes, cole slaw, applesauce and pickle. Specialty soups of the week: March 3, broccoli cheese; March 10, minestrone; March 17, potato; March 24, vegetable; March 31, lobster bisque; April 7, New England clam chowder. Also, thin crepes filled with sweet cream cheese filling.",1,1,1,"Ten percent of proceeds benefit the Greater Pittsburgh Community Food Bank. takeout and delivery, call 412-672-6004 from 10 a.m.-7 p.m. Last phone order/fax order taken at 5 p.m.", www.corpuschristimckeesport.com,,412-672-6004,,1,,"803 Market St, McKeesport",Church,,Corpus Christi,1,
199,234,"Menu includes fried and baked fish, macaroni and cheese, french fries and a variety of Lebanese side dishes. Cost: dinner with three sides, $14; dinner with two sides, $11; fish sandwich, $6; extra side dishes, $3; children under 10, $5. Credit cards accepted.",,1,1,"Fridays of Lent, except Good Friday, noon-7 p.m.",www.olovpittsburgh.org,,412-278-0841,,,,"1000 Lindsay Rd, Carnegie, PA 15106",Church,,"Our Lady of Victory Maronite Catholic Church, Carnegie",1,
200,237,"Menu features Panko breaded cod, deep-fried in heart healthy tri-fry oil that is cholesterol- and trans fat-free. Other healthier options include baked cod or salmon, Maine lobster rolls and tuna melts. Also featuring homemade crab cakes, jumbo shrimp, and cabbage and noodles. Back by popular demand is seafood pizza. Side orders include green beans, baked potatoes, french fries, cole slaw, and macaroni and cheese. Featuring breads from Breadworks and homemade desserts.",1,1,1,"Ash Wednesday and Fridays of Lent, except Good Friday, 11 a.m.-7:30 p.m. Call 724-228-8575 for takeout. Online orders via website.",http://miraculousmedalchurch.org/Fish-Fry-2017,olmmfishfry@gmail.com,724-222-1911,,1,,"300 Pike St, Meadow Lands, PA",Church,,"Our Lady of the Miraculous Medal, Meadow Lands",1,
201,238,"Dinner menu: fish trio dinner, $12.50; baked fish dinner, $8.50; fried fish dinner, $8.25; crab cake dinner, $9; shrimp dinner, $8; pierogie dinner (six), $6; macaroni and cheese dinner with stewed tomatoes, $6; fish parmesan, $8.50. Dinners include cole slaw and roll with butter. A la carte menu includes baked or fried fish sandwich, crab cakes, shrimp basket and pierogies. Sides include french fries, pasta marinara, haluski, clam chowder, potato soup and more.",,1,1,"For phone orders, call 412-276-1011, ext. 220, from 11 a.m.-6 p.m.",,,412-276-1011 ext 220,,,,"330 3rd Ave, Carnegie, PA 15106",Church,In St Luke Hall,"St Elizabeth Ann Seton, Carnegie",1,
202,239,"http://holyapostlesparish.org/wp-content/uploads/2017/03/FishFryMenus17L.pdf Dinners, $9, and includes two sides: Panko breaded Icelandic cod fried fish sandwich; Panko breaded Icelandic cod fried fish on a dish; orange juice and herb-baked Icelandic cod fish; breaded shrimp; Maryland crab cake; homemade potato pierogie. Sides include french fries, macaroni and cheese, cole slaw, haluski, stewed tomatoes and potato pancakes. A la carte menu is $6. Soup is $4 for 12 ounces, and includes choice of New England clam chowder or weekly soup du jour. Also, albacore tuna salad croissant with lettuce and tomato, cheese pizza, pretzels, deep-fried wheel of provolone cheese. Featuring fresh doughnuts, with choice of plain, iced, sugar and jimmies.",1,0,1,Credit cards and checks welcome.,,,412-440-0221,,1,1,3198 Schieck St,Church,,St Albert the Great Church,1,
203,240,"Come try our delicious breaded cod. Fish sandwich alone is $8.99, or get a fish sandwich, french fries, and coleslaw for $10.99.",,,0,,,,,,,,"144 West Pike St Houston, PA 15342",Restaurant,,Shelleys Pike Inn Restaurant,0,
204,241,"Dinners include fish sandwich, french fries and cole slaw. Also includes pierogies, haluski, soup and macaroni and cheese. Cost is 9 for adult dinner, 8 for sandwich.",,,1,,www.immaculateheartpolishhill.com,,412-621-5441,1,1,0,"3058 Brereton St, Pittsburgh, PA 15219",Church,Rosary Hall,Immaculate Heart of Mary Church,1,
205,242,,,1,1,,http://hogfathersbbq.com,,724-743-3227,,1,1,"113 Cavasina Drive, Canonsburg, PA 15317",Restaurant,,Hogfathers Canonsburg,1,
206,243,,,,0,,,,,,,,"1531 Route 136 Washington, PA 15301",Unsure / N/A,,Spring House,0,
207,244,,,1,1,,http://hogfathersbbq.com,,724-229-1227,,1,1,"1301 Jefferson Ave, Washington, PA 15301",Restaurant,,Hogfathers Washington,1,
208,245,"Lunch menu features hand-breaded cod sandwich in adult and child size, soup and sides. Delivery is available for lunch within seven miles with minimum order of $30. Dinner entrees include hand-breaded baked or fried cod, shrimp and seafood platter, with two sides, roll and butter, dessert and beverage. Sides include hush puppies, haluski, macaroni and cheese, cole slaw, applesauce and stewed tomatoes. Also featuring homemade desserts. Homemade pierogies for sale, cooked with butter and onions, or dozen frozen.",1,1,1,"Fridays of Lent, except Good Friday, 11 a.m.-1 p.m. lunch, 4-7 p.m. dinner. Fax orders to 724-746-1112 two hours prior to pickup or delivery.",www.stpatrickparish.net,,724-745-6560,,1,," 317 W Pike St, Canonsburg, PA 15317",Church,,"St. Patrick, Canonsburg",1,
209,246,,,1,1,,hogfathersbbq.com,,724-222-9227,,1,1,"1500 West Chestnut Street, Washington, PA 15301",Restaurant,,Hogfathers Washington Crown Center,1,
210,247,Cost: Prices range from 3 to 10;  Menu: Hand breaded and fried Haddock Sandwiches and dinners; Baked Fish Sandwiches and dinners; Fried Shrimp dinners; Home Made Haluski; Baked Potatoes; French Fries; Home Made Cole Slaw; Macaroni and Cheese,0,0,1,,http://www.aohdivision32.org/,aohdiv32@gmail.com,,,1,1,"302 Mansfield Avenue Carnegie, Pa. 15106",Unsure / N/A,"Ukaranian American Citizens Club, Social Hall dining room",Ancient Order of Hibernians,1,
211,248,"Lunch menu- baked or fried fish sandwich, $6; tuna croissant, $4.50; salad, $3; homemade haluski, $2; macaroni and cheese, $2; cole slaw, $2; french fries, $2. Dinner menu, with choice of two side items: baked or fried fish, $9.50; shrimp, $9.50; tuna croissant, $7.50. Side items include salad, cole slaw, french fries, onion rings, baked potato, haluski, macaroni and cheese. A la carte menu features fish sandwiches, pizza, chicken nuggets and more. An array of desserts are available. ",,1,1,Takeout orders available; call 412-828-9846. Jeanne Kaus Memorial St. Is Community Fish Fry.,,,412-828-9846,,1,,"387 Maryland Ave, Oakmont, PA 15139",Church,In Blough Hall,St. Irenaeus (Oakmont),1,
212,249,,,1,1," Fresh Hand Breaded Haddock, Tuna Salad, Cabbage and Homemade Dumplings, Homemade Mac and Cheese, Salmon Patties, Lobster Bisque, Shrimp n a Basket, and lots more.",https://www.facebook.com/Hills-Restaurant-117576318259711/,,(724) 258-5422,,,,"107 Main St, New Eagle, PA 15067",Restaurant,,Hills Restaurant,1,
213,250,"Main dishes include fish sandwiches, fish and shrimp dinners and crab cakes. Sides including mac n cheese, fries, soups, and more. Our world famous pierogis will also be available ,potato and cheese only for Ash Wednesday. Stop by early as they are sure to sell out. For Good Friday only, if youd like to pre-order pierogis - potato and cheese, sauerkraut or sweet cabbage , please call 412-722-6314.",,0,1,Ash Wednesday and Good Friday only,,,412 722-6314,,1,0,"456 First Street, Heidelberg PA 15106",Fire Department,Fire Department Social Hall. Ample parking and hall entrance is located behind the fire station.,Heidelberg Volunteer Fire Department,1,
214,251,Colossal Fish Sandwich and Cole Slaw 6.99. The Pounder Platter 1lb of Fish and 1lb of Fries 10.99. Voted Best Fish in the Valley.,0,1,1,Ash Wednesday and every Friday,http://armandospizza.net/,,724-483-5540,,,1,"583 Fallowfield Ave. Charleroi, PA 15022",Unsure / N/A,,Armandos Pizza,1,
215,252,"Lunch Special, 11am-2pm Fried cod sandwich with french fries, $7.50; pizza with side salad, $5 (toppings additional); one crab cake with homemade cup of soup, $6. Entrees: fried cod fish sandwich, $7; baked cod sandwich with dill hollandaise sauce, $7; baked cod or fried fish dinner with french fries and cole slaw, $9; baked Norwegian salmon, with dill hollandaise sauce, $9 ($12 with salad and roll); fried shrimp, $6.50; shrimp PoBoy sandwich with french fries, $8.50; homemade lump crab cake, $4.50 for one, $8.50 for two; fish taco, $7; spicy fish bites, $5.50; pierogies, $5 for six. Special seafood combo, with fried or baked cod with bun, two shrimp and one crab cake, $12. Also, red flatbread pizza, $3, plus 75 cents for pepperoni, and white flatbread pizza, with tomato and spinach, $1.50. Beer and wine available. ",,1,1,"Dine-in or takeout. For advance orders, call 412-854-3173.",,,412-854-3173,,1,1,"6470 Library Rd, South Park Township, PA 15129",Church,,St. Joan of Arc (South Park),1,
216,253,"Baked or fried white fish. Adult $9, Child 12 and under $4, Toddlers free. Includes choice of baked potato and french fries, coleslaw/applesauce, homemade desserts, and drink.",,0,1,"4:30-7:30 pm March 3, 10, 17, 24, 31, and April 7",,,814-796-3023,,1,,"11264 Route 97 North, Waterford PA",Church,,All Saints,1,
217,254,"Fish Dinner with Cole Slaw and One Side - $12.00
Shrimp Dinner with Cole Slaw and One Side - $12.00
Fish Sandwich - $10.00
Shrimp Basket - $10.00
Chicken Sandwich - $5.00
Mac and Cheese - $3.00
Haluski - $3.00
French Fries - $3.00
Pierogies (4) - $3.00
Cole Slaw - $3.00
Drinks - $1.00",,1,1,Delivery available,hanovervfd45.com,,724-729-3929,,1,0,"9 Starck Drive, Burgettstown, PA 15021",Fire Department,,Hanover Volunteer Fire Department Fish Fry,1,
218,255,,,1,1,Call ahead at 412-329-7911 for takeout orders.,,,412-329-7911,,1,,"1304 4th Ave, Coraopolis, PA 15108",Church,,St. Joseph (Coraopolis),1,
219,256,"Fried pollack, fried shrimp, or combo. Adult $10, Child $5. Includes baked potato, homemade coleslaw, roll, butter, dessert, and beverage. Mac and cheese $5. ",,,1,,,,814-474-2605,,1,,"7100 West Ridge Road, Fairview PA",Church,,Holy Cross (Reilly Center),1,
220,258,,,1,1,,http://www.towerrestaurant.net/,,724-222-5952,,,,"680 W Chestnut St Washington, PA 15301",Restaurant,,Tower Restaurant,1,
221,259,"Fried Fish Dinner and Shrimp Dinners 10 each, Fried Fish Sandwich 7, Haluski 3, Mac and Cheese 3, Grilled Cheese with chips 3, French Fries 2. Dinners include French fries, cole slaw, and drink. Extra drinks 1 extra. Drink choices include Pepsi, Diet Pepsi, Mountain Dew, Root Beer, Brisk Tea, Sierra Mist, bottled water.",0,0,1,Takeout only. ,https://www.facebook.com/EliottAthleticAssociation/,,412-928-8854,,1,0,"Herschel St and Hassler St Pittsburgh, PA 15220",Community Organization,Sales are out of the Herschel Playground Little League candy stand.  ,Elliott West End Athletic Association,1,
222,260,They will have a special Lenten menu Friday during Lent.,,1,1,,http://www.beechiesplace.com,,724-222-7079,,1,1,"400 West Pike St Meadow Lands, PA 15347",Restaurant,,Beechies Place,1,
223,261,,,,1,,,,724-222-1430,,,1,"1488 Park Avenue, Washington, PA 15301",Restaurant,,Gabby Inn,1,
224,262,,1,,1,,http://www.stjohnthebaptistparish.net/,,412-793-0555,,,,"444 St John St, Plum, PA 15239",Church,In school cafeteria.,"St. John the Baptist, Plum",1,
225,263,"10 Fish Dinner- Includes 3 pieces of whiting fish, fries, coleslaw and dessert. 5 Sandwich with 2 pieces of fish, no sides. Drinks available for purchase. Dine in or take out",,1,1,Every Friday from 11am to 6pm starting March 17th to April 14th. ,https://www.facebook.com/events/223183358152585/,,Sonya Miller 724-518-0596 or Darra Owens 724-740-9055,,1,,"3 Main St, Daisytown, Pennsylvania 15427",Community Organization,,Daisytown Community Center,1,
226,264,See Website,,,1,,www.stsjohnandpaul.org,fishfry@stsjohnandpaul.org,,,,,"2586 Wexford Bayne Rd, Franklin Park",Church,,SS John and Paul,1,
227,265,"Fried fish and/or cheese pierogi. Adult $10, Child $5. Includes choice of French Fries, potato salad, or mac and cheese, coleslaw or green beans and ice cream dessert. Takeout 50 cents extra.",,,1,,,,814-825-7313,,1,,"1553 East Grandview Blvd. Erie, PA",Church,,"Our Lady of Mount Carmel, Scheffner Hall",1,
228,266,"baked or fried fish. adult $10, child donation $5. includes baked potato or mac and cheese, coleslaw, green beans, bread, refreshments, and dessert. Tickets and takeout at the door.",,,1,"March 3, 17, 24, 31, and April 7",,,,,,,"128 Sunset Drive, Edinboro PA",Church,,Our Lady of the Lake,1,
229,267,Fish Sandwich 8.00 Fish and Fries 9.00 Fish Platter 11.00 (fish fries and cole slaw) Popcorn Shrimp Patter 7.00 Popcorn Shrimp 4.00 Perogies (6) 4.00 Sides Fries cole slaw and Mac and Cheese 2.00 Halushki 2.50,0,1,1,Bunola Fire Facebook page: https://www.facebook.com/Bunola-VFD-121929557856047/,http://www.angelfire.com/pa5/bunolafire/,,412-384-9940,,,,"366 Bunola River Road Bunola, PA 15020",Fire Department,,Bunola Volunteer Fire Department,1,
230,268,"Baked fish and/or pierogi. Adult $10, child 6-12 $5, child under 6 free. Includes choice of baked cod, potato and cheese pierogi or combo. Nut roll bake sale!",,0,1,"March 3, 17, 31   4:30-7",,,814-825-8140,,1,,"3415 Wallace St. Erie, PA",Church,,"SS Peter and Paul Byzantine, Social Hall",1,
231,269,"Menu offers a variety of fried and baked fish options, including homemade lump crab cakes, fish tacos and pizza. There is also a featured pasta from local Italian restaurant Pasta Too. Also offering different soups such as crab and shrimp bisque, tomato basil and lobster bisque. Desserts are provided by Bethel Bakery and Kona Ice. Adult dinners are $10, and fish sandwiches are $9.",0,0,1,,https://stlouisedemarillac.org/wp-content/uploads/2015/02/FFF_menu_2017_v1.pdf,,412-833-1010,1,1,1,"320 McMurray Road, Upper St Clair",Church,,St Louise de Marillac,1,
232,270,"Sandwich menu includes fried and baked fish, crab cake and fish parmesan. Dinner menu includes crab cakes, fried and baked fish, shrimp in a basket. Family special is $30, and includes four fish sandwiches, french fries and cole slaw. A la carte items include hand-cut french fries, baked potato, macaroni and cheese, pizza boat, pasta of the week, cole slaw and vegetable. ",0,0,1,"For takeout, call 412-922-7279.",www.stmargparish.org,,412-922-4765,,1,0,310 Mansfield Ave,Church,School Cafeteria,St Margaret,1,
233,271,"Weekly dinner choices include baked or fried fish or shrimp, with the following side dishes: March 1, french fries and cole slaw; March 3, spaghetti with garlic and oil, broccoli; March 10, french fries and cole slaw; March 17, macaroni and cheese, and vegetable; March 24, spaghetti with garlic and oil, broccoli; March 31, Ditaline (pasta with peas); April 7, french fries and cole slaw. French fries are available as an alternative to special weekly side dishes. All meals include drink. Cost is $10 for adult dinner, $7 for children and $8 for fish sandwich.",,,1,,,,412-682-2509,0,1,,"321 Edmond St, Pittsburgh, PA 15224",Church,Friendship Campus,St. Maria Goretti,1,
234,272,"Menu consists of fish sandwiches, french fries, macaroni and cheese, cabbage and noodles, cole slaw, deserts, and refreshments. Eat in or take out.",0,1,1,"Eat in or take out. This is a cooperative effort between the Parishes of St Alphonsus and St John to share good food, good times, and community. Your support and patronage is welcome and truly appreciated.",http://stalswheeling.org/,,304-905-6589 takeout,,1,,"2111 Market St, Wheeling, WV",Church,At the St. Alphonsus Parish Hall (Gym),St Alphonsus Wheeling And St John Benwood Combined Fish Fry,1,
235,273,"Baked Fish Dinner - 7 Six Piece Shrimp Dinner - 7 Fish Dinner - 7 Includes Two Sides and a Roll. Side Dishes include French Fries - 1 Green Beans - 1 Mac and Cheese - 1 Cole Slaw - 1 Baked Potato - 1 There are also a la carte items including pizza - 2 and grilled cheese - 2. Soda, bottled water, and coffee - 1. ",0,0,1,,stmikesparishschool.org,,304-242-1560 takeout,,1,0,"1221 National Road, Wheeling, Wv",Church,,St Michael Parish,1,
236,274,"Buffet dinner catered by Denise Bozich. Suggested donations for the dinner are as follows: $7/adult, $3/child, $20 family maximum.",,0,1,"Evening-long program: Dinner-6:30, Worship-7:15, Teaching-7:30, QA-8:15, Dismiss-8:30. See the website for speakers.",http://www.ascensionpittsburgh.org/lenten-dinner-series/,,412-621-4361,,0,0,"4729 Ellsworth Ave, Pittsburgh, PA",Church,,Church of the Ascension,1,
237,275,,,,1,Ash Wednesday and all Fridays of Lent,http://www.roadhousech.com/home.html,,412-415-1087,,,,"325 Camp Horne, Pittsburgh, PA 15202",Restaurant,,Rupe's Roadhouse,1,
238,276,Hand Breaded / Fried North Atlantic Cod; French Fries; Homemade Cole Slaw; Roll and Butter; Free Coffee; Pop / Water can be purchased at the hall; Cost per Dinner: $9.50,,0,1,4-7 PM every Friday of Lent,http://smithtonfire.org/news.html?view=1&id=11521,,724-872-9201,,,,"609 Center Street, Smithton, PA",Fire Department,,Smithton VFD,1,
239,277,,,,1,every Lenten Friday from 4-7 pm; Good Friday 12-7,https://www.facebook.com/174495925973/photos/a.10151638492125974.1073741825.174495925973/10154161971400974/?type=3&theater,,,,,,"109 Powell St, East Pittsburgh, PA 15112",Fire Department,,Wilkins Township VFC #3,1,
240,278,,,0,1,"Fridays of Lent except Good Friday, 4-8 pm",http://www.saintkilian.org/fishfry/,,,,,,"7076 Franklin Road, Cranberry Township, PA 16066",Church,,St. Kilian (Cranberry),1,
241,279,See http://stbfestival.com/2017/fishfry/Menu%20Handout.pdf,,0,1,Fridays of Lent except Good Friday 4:30-7,http://stbfestival.com/2017/fishfry/,,412-843-0668,1,1,,"245 Azalea Drive, Monroeville, PA 15146",Church,Dinners Served in the Lourdes Center Dining Hall ,St. Bernadette (Monroeville),1,
242,280," hand-breaded fried fish or baked fish dinner, with side of pasta marinara or french fries; pasta dinner with featured sauce or marinara sauce. Dinners are $10 for adults, $5 for children, and include choice of salad, cole slaw or applesauce. All-you-can-eat pasta with marinara sauce is $10. Half portions of regular features, or buttered noodles with a side and roll for kids, are available. Also offering hand-breaded fried fish sandwich only. Gluten-free fish and pasta available. A la carte menu: macaroni and cheese, french fries, homemade soup, pizza. Featured sauces made by parishioner Lucia Facco are: March 3, shrimp sauce; March 10, three-pepper sauce; March 17, smoked salmon sauce; March 24, shrimp sauce; March 31, three-pepper sauce; April 7, smoked salmon sauce. Desserts feature cakes, cookies and ice cream. Show special STM app at cash register and receive ticket for free dessert. Beer, wine and soda available for sale. ",,,1,"Fridays of Lent, except Good Friday, 4:30-7:30 p.m., Family Life Center, 126 Fort Couch Road.",www.stmpgh.org/morefish,,412-833-0031,,1,1,"126 Fort Couch Road, Bethel Park, PA",Church,,"St. Thomas More, Bethel Park",1,
243,281,https://www.facebook.com/photo.php?fbid=1553181801366548&set=o.156352784403369&type=3&theater,0,1,1,11-6 pm every Friday during Lent,https://www.facebook.com/Rural-Ridge-Volunteer-Fire-Co-156352784403369/,,,,,,"135 Little Deer Creek Road, Rural Ridge, PA 15075",Fire Department,,Rural Ridge Fire ,1,
244,282,see website,,,1,Fridays of Lent (except Good Friday) 5-7:30,http://www.sacredheartparishshadyside.org/Fish-Fry,,412-361-3131,,1,,"310 Shady Avenue, Pittsburgh, PA 15206",Church,,Sacred Heart Parish,1,
245,283,https://www.mostholynameofjesusparish15212.org/documents/2017/2/2017%20fish%20menu%20jpg.pdf,,,1,,https://www.mostholynameofjesusparish15212.org/,,,,1,,"1515 Tinsbury Street, Pittsburgh, PA",Church,,Most Holy Name,1,
246,284,http://www.lfhvfd.com/51101.html,,,1,,http://www.lfhvfd.com/51101.html,,,,1,,"1001 Summit Ave., New Kensington, PA 15068",Fire Department,,Logans Ferry Heights ,1,
247,285,"Baked or Fried Fish or Sloppy Joe Sandwich, Comes with Choice of: Baked Potato, Curly Fries, or Macaroni and Cheese, and Choice of: Apple sauce or Cole Slaw, and Roll, Beverage and Homemade Pie Adult is $9, Children $4",0,0,1,,https://www.facebook.com/firstchurchkittanning,,,,1,0,"301 North Jefferson Street, Kittanning, PA",Church,,First United Methodist Church Covenant Center,1,
248,286,famous fish sandwich,,1,1,,http://www.kretzlerstavern.com/,,,,,1,"2240 Babcock Blvd., Pittsburgh, Pennsylvania",Restaurant,,Kretzler's Tavern,1,
249,287,Baked or fried fish sandwiches or dinners; shrimp dinner; mac n cheese; pasta with marinara or aglio e oglio; pasta fagioli. Dessert available.,,1,1,,https://www.facebook.com/MSPParish/,,724-335-1458,1,1,,"100 Freeport Road, New Kensington, PA",Church,,Mount St. Peter,1,
250,288,See page 26: http://unionvilleumc.org/Newsletter_Page_Site/Newsletter_Page_Frameset.htm,,0,1,,http://unionvilleumc.org/,,,,1,,"1297 PA-68, Rochester, PA 15074",Church,,Unionville Methodist Church,1,
251,289,https://www.facebook.com/MooseLodge46/photos/a.311685879038551.1073741833.200770863463387/581249358748867/?type=3&theater,,,1,,http://www.moose46.org/,,412-487-9055,,1,1,"1044 Saxonburg Blvd., Glenshaw, PA",Community Organization,,Pittsburgh Moose Lodge 46 North Hills,1,
252,290,"Fish sandwiches, shrimp, salmon cakes, dinners ($10-$13)",,,1,,http://www.archpitt.org/place/church-of-the-resurrection-byzantine-catholic/,,412-372-9415,,1,,"455 Center Road, Monroeville, PA",Church,,Church of the Resurrection Byzantine,1,
253,291,See Menu on facebook page,,1,1,,https://www.facebook.com/MtOliverFire/,,412-431-5210,,,,"120 Brownsville Rd., Mount Oliver, PA",Fire Department,,Mount Oliver Fire Department,1,
254,292,https://www.facebook.com/motherofsorrowsmurrysville/photos/a.175243462814267.1073741828.174889776182969/432174380454506/?type=3&theater,,1,1,,https://www.facebook.com/motherofsorrowsmurrysville/,,724-980-2636,,1,,"4202 Old William Penn Hwy Murrysville, PA 15668",Church,,Mother of Sorrows,1,
255,293,https://www.facebook.com/111109495633531/photos/a.314237345320744.69221.111109495633531/1251260814951721/?type=3&theater,,1,1,,,,724-744-2400,,1,,"3100 Blocks Rd., Claridge, PA 15623",Fire Department,,Claridge VFW,1,
256,294,http://www.christumc.net/content.cfm?id=133&announcement_id=2091,,1,1,,,,412-835-6621,,,,"44 Highland Rd., Bethel Park, PA",Church,,"Christ United Methodist Church, Bethel Park",1,
257,295,"We will be featuring a Colossal Fish sandwich with lettuce and tomato, Guinness Fish tacos with lime slaw, avocado, and pico de gallo, and last but not least, our OTB Shrimp Po Boy!!",0,1,1,,http://www.otbbicyclecafe.com/,,,0,1,1,"2518 East Carson St, Pittsburgh, PA 15203",Restaurant,,OTB Bicycle Cafe,1,
258,296,,,1,1,,https://www.facebook.com/Colemans-Fish-Market-369493546495465/,,,,1,,"2226 Market St, Wheeling, WV 26003",Unsure / N/A,,Coleman's Fish Market,1,
259,297,"Fish, Crab Cakes, Fried Shrimp, Chicken, Coleslaw, Mac n Cheese, French Fries. See website for menu.",0,0,1,"Every Friday during Lent, 4-7pm. For takeout, please call ahead: 724-266-3714 or 724-266-1116.",https://u.nya.is/wwqytt.jpg,,724-266-3714 or 724-266-1116,1,1,1,"3308 Conway Wallrose Rd, Economy, PA 15042",Fire Department,Handicap accessible: Please let parking lot attendants know and they will park you in the handicap location.,Economy Volunteer Fire Department 1 Station 69,1,
260,298,$10 dinners,,,1,,https://www.facebook.com/St.MarysHermanFishFries/,,,,,,"821 Herman Road, Butler, PA 16002",Church,,St. Mary (Herman),1,
261,299,https://www.facebook.com/McClarensBarPgh/photos/a.901674729917897.1073741829.827595107325860/1269636793121687/?type=3&theater,,1,1,,https://www.facebook.com/McClarensBarPgh/,,412-228-9553,,1,,"2000 Whitaker Way, Munhall, PA",Restaurant,,McClaren's Bar,1,
262,300,"Adults $10.00 Seniors $9.00 Children $6.00 (4-10 yrs) Children $4.00 (3 and Under)  Adults and Seniors: Choice of Baked or Fried Breaded Fish Filet with Sandwich Bun or Dinner Roll Choice of Three Sides: Baked Potato, Mac & Cheese, Green Beans, Corn, Coleslaw, or Applesauce  Children: Choice of Pizza, Baked, or Fried Fish Fillet with Sandwich Bun or Dinner Roll  and Choice of Two Sides listed above",,0,1,,http://www.stmaryglenshaw.org/,,412-684-1112,,1,,"2510 Middle Road, Glenshaw, PA 15116",Church,,St. Mary of the Assumption (Glenshaw),1,
263,301,http://www.stpeterparish.org/lenten-fish-dinners,0,0,1,,http://www.stpeterparish.org/lenten-fish-dinners,,412-321-2499,0,1,0,"907 Middle St, Pittsburgh, PA 15212",Church,Note that you must use the Middle Street address for GPS navigation. The fish fry is located at Our Lady Queen of Peace facilities at Middle and Suismon.,St. Peter/Our Lady Queen of Peace (Northside),1,
264,302,,,1,1,,,,724-728-8900,,1,,"2000 Marshall rd, monaca, pa 15061",Restaurant,,Pappy J's Monaca,1,
